WaypointN,Missiontime,Result
10,96.58967731589009,92.72715751529628
11,97.01757749805884,93.19952767399977
12,97.960295199738,94.45898539874332
13,104.79701152955109,100.65720066258281
14,105.02910541402456,100.75402638178498
15,103.91460612183046,99.65310688597488
16,105.95676634962447,101.68278602008832
17,112.93499616806676,108.20819566147267
18,113.18516777558784,108.3565594900418
19,113.44133320749512,108.48409779118019
20,116.8937530875991,111.90612550847375
21,128.4113901247657,121.75210376098822
22,128.66874873561557,122.07579078177369
23,128.88595356060588,122.14371880801635
24,129.36328726273345,122.04839535582899
25,129.78504137272395,122.38360555611199
26,134.17053031412502,126.50593095242829
27,135.18094294588806,127.56181689095853
28,135.60989859534692,127.99743114409111
29,136.26101215168896,127.60089128306939
30,137.09871922152044,128.30013468724692
31,137.9597612270438,128.93711059588614
32,140.50483703745127,131.9170190110852
33,141.35087494172353,132.61899350269394
34,144.2281807558521,134.82021126422026
35,144.74646602765142,135.26487187407088
36,145.1531327113298,135.74779914803764
37,146.70541058504654,136.8407166812113
38,146.88069587917943,136.7262145608869
39,148.03358955585836,137.94566512474486
40,149.0432560553846,138.30861878515057
41,149.80327867337027,138.77806480027758
42,150.6850111922061,139.3631243290867
43,155.30754424960347,144.2419615878075
44,155.73353408590768,144.302711524546
45,156.00585009579072,144.34570720329978
46,159.29229679348188,146.8806608861616
47,159.69082861350404,147.62326595415527
48,158.8027829400347,145.21607216619617
49,159.04292159306678,145.07692590675254
50,168.9649010209679,153.77847148158847

